key,rule,severity,type,component,project,file_path,line,message,status,effort,debt,author,tags,creationDate,updateDate,closeDate
AZf0SG4EamoZJ6FAQuVG,cpp:S3539,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/DWARFExtractor.hpp,Heimdall-SBOM_heimdall,src/common/DWARFExtractor.hpp,168,Remove this access specifier; it does not affect any declaration.,OPEN,2min,2min,tbakker@example.com,"clumsy,redundant",2025-07-10T12:18:31+0000,2025-07-10T12:18:31+0000,
AZf0SGu2amoZJ6FAQuU1,cpp:S1659,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:examples/heimdall-usage-cyclonedx-example/main.cpp,Heimdall-SBOM_heimdall,examples/heimdall-usage-cyclonedx-example/main.cpp,15,Define each identifier in a dedicated statement.,OPEN,5min,5min,tbakker@example.com,"based-on-misra,cert,convention",2025-07-10T12:18:24+0000,2025-07-10T12:18:31+0000,
AZf0SGu2amoZJ6FAQuU2,cpp:S1659,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:examples/heimdall-usage-cyclonedx-example/main.cpp,Heimdall-SBOM_heimdall,examples/heimdall-usage-cyclonedx-example/main.cpp,18,Define each identifier in a dedicated statement.,OPEN,5min,5min,tbakker@example.com,"based-on-misra,cert,convention",2025-07-10T12:18:24+0000,2025-07-10T12:18:31+0000,
AZf0SGvQamoZJ6FAQuU3,cpp:S6009,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:examples/heimdall-usage-cyclonedx-example/utils.cpp,Heimdall-SBOM_heimdall,examples/heimdall-usage-cyclonedx-example/utils.cpp,3,"Replace this const reference to ""std::string"" by a ""std::string_view"".",OPEN,2min,2min,tbakker@example.com,since-c++17,2025-07-10T12:18:24+0000,2025-07-10T12:18:31+0000,
AZf0SGuIamoZJ6FAQuUy,cpp:S1659,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:examples/heimdall-usage-example/main.cpp,Heimdall-SBOM_heimdall,examples/heimdall-usage-example/main.cpp,15,Define each identifier in a dedicated statement.,OPEN,5min,5min,tbakker@example.com,"based-on-misra,cert,convention",2025-07-10T12:18:24+0000,2025-07-10T12:18:31+0000,
AZf0SGuIamoZJ6FAQuUz,cpp:S1659,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:examples/heimdall-usage-example/main.cpp,Heimdall-SBOM_heimdall,examples/heimdall-usage-example/main.cpp,18,Define each identifier in a dedicated statement.,OPEN,5min,5min,tbakker@example.com,"based-on-misra,cert,convention",2025-07-10T12:18:24+0000,2025-07-10T12:18:31+0000,
AZf0SGuiamoZJ6FAQuU0,cpp:S6009,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:examples/heimdall-usage-example/utils.cpp,Heimdall-SBOM_heimdall,examples/heimdall-usage-example/utils.cpp,3,"Replace this const reference to ""std::string"" by a ""std::string_view"".",OPEN,2min,2min,tbakker@example.com,since-c++17,2025-07-10T12:18:24+0000,2025-07-10T12:18:31+0000,
AZf0SGtlamoZJ6FAQuUw,cpp:S1659,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:examples/heimdall-usage-spdx-example/main.cpp,Heimdall-SBOM_heimdall,examples/heimdall-usage-spdx-example/main.cpp,15,Define each identifier in a dedicated statement.,OPEN,5min,5min,tbakker@example.com,"based-on-misra,cert,convention",2025-07-10T12:18:24+0000,2025-07-10T12:18:31+0000,
AZf0SGtlamoZJ6FAQuUx,cpp:S1659,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:examples/heimdall-usage-spdx-example/main.cpp,Heimdall-SBOM_heimdall,examples/heimdall-usage-spdx-example/main.cpp,18,Define each identifier in a dedicated statement.,OPEN,5min,5min,tbakker@example.com,"based-on-misra,cert,convention",2025-07-10T12:18:24+0000,2025-07-10T12:18:31+0000,
AZf0SGtTamoZJ6FAQuUv,cpp:S6009,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:examples/heimdall-usage-spdx-example/utils.cpp,Heimdall-SBOM_heimdall,examples/heimdall-usage-spdx-example/utils.cpp,3,"Replace this const reference to ""std::string"" by a ""std::string_view"".",OPEN,2min,2min,tbakker@example.com,since-c++17,2025-07-10T12:18:24+0000,2025-07-10T12:18:31+0000,
