key,rule,severity,type,component,project,file_path,line,message,status,effort,debt,author,tags,creationDate,updateDate,closeDate
AZhSLmwew-UIMmo8ra6X,cpp:S3624,CRITICAL,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,52,Customize this class' copy constructor to participate in resource management. Customize or delete its copy assignment operator. Also consider whether move operations should be customized.,OPEN,30min,30min,trevor.bakker@protonmail.com,"cert,leak,pitfall",2025-07-28 17:55:36,2025-07-28 17:55:53,
AZhSLmwew-UIMmo8ra6Y,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,89,"This function should be declared ""const"".",OPEN,5min,5min,trevor.bakker@protonmail.com,"confusing,pitfall",2025-07-28 17:55:36,2025-07-28 17:55:53,
AZhSLmwew-UIMmo8ra6T,cpp:S1874,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,97,"'gmtime' is deprecated: This function or variable may be unsafe. Consider using gmtime_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.",OPEN,15min,15min,trevor.bakker@protonmail.com,"cert,cwe,obsolete",2025-07-28 17:55:36,2025-07-28 17:55:53,
AZhSLmwew-UIMmo8ra6Z,cpp:S1912,BLOCKER,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,97,"Replace this call to the non reentrant function ""gmtime"" by a call to ""gmtime_r"".",OPEN,30min,30min,trevor.bakker@protonmail.com,multi-threading,2025-07-28 17:55:36,2025-07-28 17:55:53,
AZhSLmwew-UIMmo8ra6a,cpp:S6229,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,97,"Replace this use of ""gmtime"" with equivalent code using ""std::chrono"".",OPEN,10min,10min,trevor.bakker@protonmail.com,"confusing,since-c++20",2025-07-28 17:55:36,2025-07-28 17:55:53,
AZhSLmwew-UIMmo8ra6b,cpp:S6495,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,98,"""std::print"" or ""std::format"" should be used instead of standard output manipulators",OPEN,5min,5min,trevor.bakker@protonmail.com,"clumsy,performance,since-c++20",2025-07-28 17:55:36,2025-07-28 17:55:53,
AZhSLmwew-UIMmo8ra6d,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,107,"This function should be declared ""const"".",OPEN,5min,5min,trevor.bakker@protonmail.com,"confusing,pitfall",2025-07-28 17:55:36,2025-07-28 17:55:53,
AZhSLmwew-UIMmo8ra6c,cpp:S6177,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,109,"Reduce verbosity with ""using enum"" for ""heimdall::SignatureAlgorithm"".",OPEN,2min,2min,trevor.bakker@protonmail.com,since-c++20,2025-07-28 17:55:36,2025-07-28 17:55:53,
AZhSLmwew-UIMmo8ra6f,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,126,"This function should be declared ""const"".",OPEN,5min,5min,trevor.bakker@protonmail.com,"confusing,pitfall",2025-07-28 17:55:36,2025-07-28 17:55:53,
AZhSLmwew-UIMmo8ra6e,cpp:S6177,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMSigner.cpp,Heimdall-SBOM_heimdall,src/common/SBOMSigner.cpp,128,"Reduce verbosity with ""using enum"" for ""heimdall::SignatureAlgorithm"".",OPEN,2min,2min,trevor.bakker@protonmail.com,since-c++20,2025-07-28 17:55:36,2025-07-28 17:55:53,
