key,rule,severity,type,component,project,file_path,line,message,status,effort,debt,author,tags,creationDate,updateDate,closeDate
AZfh0jFY_yZdEi8IfXnu,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,47,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXnv,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,49,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXnw,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,56,"This function should be declared ""const"".",CLOSED,5min,5min,tbakker@example.com,"confusing,pitfall",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXnz,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,62,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXn0,cpp:S924,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,71,"Reduce the number of nested ""break"" statements from 2 to 1 authorized.",OPEN,20min,20min,tbakker@example.com,"based-on-misra,confusing",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXnx,cpp:S134,CRITICAL,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,73,Refactor this code to not nest more than 3 if|for|do|while|switch statements.,CLOSED,10min,10min,tbakker@example.com,brain-overload,2025-07-06T22:17:41+0000,2025-07-06T23:50:11+0000,2025-07-06T23:50:11+0000
AZfh0jFY_yZdEi8IfXn1,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,74,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXny,cpp:S134,CRITICAL,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,74,Refactor this code to not nest more than 3 if|for|do|while|switch statements.,CLOSED,10min,10min,tbakker@example.com,brain-overload,2025-07-06T22:17:41+0000,2025-07-06T23:50:11+0000,2025-07-06T23:50:11+0000
AZfh0jFY_yZdEi8IfXn2,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,78,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXn3,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,82,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXn4,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,86,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXn5,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,90,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXn6,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,106,"This function should be declared ""const"".",CLOSED,5min,5min,tbakker@example.com,"confusing,pitfall",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXn7,cpp:S6009,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,106,"Replace this const reference to ""std::string"" by a ""std::string_view"".",OPEN,2min,2min,tbakker@example.com,since-c++17,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXn8,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,110,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXn-,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,143,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXn9,cpp:S134,CRITICAL,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,151,Refactor this code to not nest more than 3 if|for|do|while|switch statements.,CLOSED,10min,10min,tbakker@example.com,brain-overload,2025-07-06T22:17:41+0000,2025-07-06T23:50:11+0000,2025-07-06T23:50:11+0000
AZfh0jFY_yZdEi8IfXn_,cpp:S5817,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,173,"This function should be declared ""const"".",CLOSED,5min,5min,tbakker@example.com,"confusing,pitfall",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
AZfh0jFY_yZdEi8IfXoA,cpp:S6009,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,173,"Replace this const reference to ""std::string"" by a ""std::string_view"".",OPEN,2min,2min,tbakker@example.com,since-c++17,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoB,cpp:S3628,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,177,Convert this string literal to a raw string literal.,OPEN,2min,2min,tbakker@example.com,since-c++11,2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoC,cpp:S6004,MINOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,200,"Use the init-statement to declare ""oldFile"" inside the if statement.",OPEN,2min,2min,tbakker@example.com,"clumsy,since-c++17",2025-07-06T22:17:41+0000,2025-07-06T22:17:49+0000,
AZfh0jFY_yZdEi8IfXoD,cpp:S7034,MAJOR,CODE_SMELL,Heimdall-SBOM_heimdall:src/common/SBOMComparator.cpp,Heimdall-SBOM_heimdall,src/common/SBOMComparator.cpp,203,"Use ""contains"" instead of ""find"".",CLOSED,10min,10min,tbakker@example.com,"clumsy,since-c++23",2025-07-06T22:17:41+0000,2025-07-07T00:16:23,2025-07-07T00:16:23
